Date,Well Name,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP,Z2 BHP,Z3 BHP,Interpretation
08/07/2023,cheetah-20,9896,5799,103,4140,11700,11720,11580,"First well test as this is the first date for this well, hence consider this as production start date."
09/07/2023,cheetah-20,9710,5747,103,4080,8840,8890,8380,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
10/07/2023,cheetah-20,9166,5548,102,3947,8440,8490,8150,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test results is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
11/07/2023,cheetah-20,8890,5601,101,3700,8210,8250,7930,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
31/07/2023,cheetah-20,6503,4729,106,2727,6420,6460,6070,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
16/08/2023,cheetah-20,5734,4308,103,2487,5910,5930,5590,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
19/09/2023,cheetah-20,5000,3240,105,3520,5620,5640,5360,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
28/09/2023,cheetah-20,4677,3106,107,3360,5550,5570,5300,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
06/10/2023,cheetah-20,4809,2992,107,3777,5550,5570,5320,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
21/10/2023,cheetah-20,4502,2765,107,3860,5470,5490,5260,"All zones BHPs are close to the mean BHP, hence all zones are open. Significant decrease in BHPs of all zones . Significant decrease in water cut . Significant decrease in oil rate . No zonal test result is available. This is a early production transient phase, any well intervention can be ruled out at this phase."
17/12/2023,cheetah-20,1743,608,96,6510,4880,8010,8330,"Only one zone is open as evident from its lower BHP value; all other zones are shut as evident from significant increase in the BHP values. The significant decrease in oil rate compared to previous test, is due to the shut-in zones. This is a zonal test phase as only one zone is open."
18/12/2023,cheetah-20,1601,608,95,6200,4850,8980,9450,Only one zone is open as evident from its lower BHP value; all other zones are shut as evident from significant increase in the BHP values. This is a zonal test phase as only one zone is open.
19/12/2023,cheetah-20,1413,526,95,6280,4220,9210,9640,Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. This is a zonal test phase as only one zone is open.
21/12/2023,cheetah-20,2291,1737,98,2415,9180,4070,9850,"Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. Significant change in oil rate compared to previous test, is due to change in the zonal configuration. This is a zonal test phase as only one zone is open."
22/12/2023,cheetah-20,2131,1631,97,2350,9680,3960,9930,Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. This is a zonal test phase as only one zone is open.
25/12/2023,cheetah-20,2401,1435,97,4025,10260,8480,4110,Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. This is a zonal test phase as only one zone is open.
26/12/2023,cheetah-20,2326,1405,97,3957,10370,8960,4160,Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. This is a zonal test phase as only one zone is open.
27/12/2023,cheetah-20,3414,2090,101,3886,9620,8570,4570,Only one zone is open as evident from its lower BHP value compared to mean BHP value; all other zones are shut as evident from significant high BHP values compared to mean BHP value. Significant increase in Oil compared to previous test without any zonal configuration change. This is a zonal test phase as only one zone is open.
03/02/2024,cheetah-20,3820,1932,103,4941,5450,5470,5280,Significant decrease in BHP of all zones except the one zone which was already having low BHP. All zones BHPs are close to mean BHP hence all the zones are open. The zonal test result is also available. This is a comingled flow phase post zonal tests.
